,document,Flesch.Kincaid,Dale.Chall,ELF,FOG.NRI,
483,MARTYPE,NA,NA,NA,NA,
484,MARWHT,10.76210526,35.89,9.5,2.87,1
485,MASEI10,NA,NA,NA,NA,
486,MASEI10EDUC,NA,NA,NA,NA,
487,MASEI10INC,NA,NA,NA,NA,
488,MATESEX,NA,NA,NA,NA,
489,MAWRKGRW,NA,NA,NA,NA,
490,MAWRKSLF,NA,NA,NA,NA,
491,MCSDS1,NA,NA,NA,NA,
492,MCSDS2,NA,NA,NA,NA,
493,MCSDS3,NA,NA,NA,NA,
494,MCSDS4,NA,NA,NA,NA,
495,MCSDS5,NA,NA,NA,NA,
496,MCSDS6,NA,NA,NA,NA,
497,MCSDS7,NA,NA,NA,NA,
498,MEDDOC,NA,NA,NA,NA,
499,MENTLDOC,NA,NA,NA,NA,
500,MENTLHOS,NA,NA,NA,NA,
501,MENTLILL,NA,NA,NA,NA,
502,MENTLOTH,NA,NA,NA,NA,
503,MEOVRWRK,7.773333333,47.80333333,5,-0.54,1
504,mhdiagno,NA,NA,NA,NA,
505,MHP1R1,NA,NA,NA,NA,
506,MHP1R2,NA,NA,NA,NA,
507,MHP2R1,NA,NA,NA,NA,
508,MHP2R2,NA,NA,NA,NA,
509,MHP3R1,NA,NA,NA,NA,
510,MHP3R2,NA,NA,NA,NA,
511,MHP4R1,NA,NA,NA,NA,
512,MHP4R2,NA,NA,NA,NA,
513,MHP5R1,NA,NA,NA,NA,
514,MHP5R2,NA,NA,NA,NA,
515,MHTREAT1,NA,NA,NA,NA,
516,MHTREAT2,NA,NA,NA,NA,
517,MHTREAT3,NA,NA,NA,NA,
518,MHTREAT4,NA,NA,NA,NA,
519,MHTREAT5,NA,NA,NA,NA,
520,MHTREATD,NA,NA,NA,NA,
521,MHUNSURE,NA,NA,NA,NA,
522,MIRACLES,NA,NA,NA,NA,
523,MISSWORK,NA,NA,NA,NA,
524,MNTHSUSA,NA,NA,NA,NA,
525,MNTLHLTH,NA,NA,NA,NA,
526,MOBILE16,NA,NA,NA,NA,
527,MODE,NA,NA,NA,NA,
528,MOREDAYS,NA,NA,NA,NA,
529,MUSLIMS,NA,NA,NA,NA,
530,MUSTDOC,NA,NA,NA,NA,
531,MUSTHOSP,NA,NA,NA,NA,
532,MUSTMED,NA,NA,NA,NA,
533,MUSTWORK,NA,NA,NA,NA,
534,MYGOALS,NA,NA,NA,NA,
535,MYPROBS1,NA,NA,NA,NA,
536,MYPROBS2,NA,NA,NA,NA,
537,MYPROBS3,NA,NA,NA,NA,
538,MYPROBS4,NA,NA,NA,NA,
